"id";"review";"polarity";"aspect";"start_position";"end_position"
0;"O hotel é perto de todos os pontos principais de Paris, cercado de estações de metrô, dá para fazer tudo a pé.  O Hotel é charmoso, aconselho ficar nos quartos no piso superior, perto de telhado, típica arquitetura parisiense. O café da manhã é simples, mas na medida certa, tudo muito gostoso, croissant sensacional!  O preço é um pouco salgado, mas se puder vale muito a pena.";0;"quarto";152;158
1;"Viajamos eu e minha irmã. O hotel tem uma extrutura excelente! Elevadores modernos e rápidos. O quarto bem climatizado e roupas de cama novas e limpas. O café da manhã farto e variado. O fato de ser ao lado da gare Montparnasse facilitou a ida a Versailles, pois pudemos pegar um trem lá. O ponto negativo é que o metrô não é muito perto, (6 quadras grandes) e a caminhada no frio muito angustiante! Mas retornaria com certeza!";1;"elevador";63;71
2;"Estive por 8 dias hospedado neste hotel com minha familia e posso afirmar com todas as letras que este hotel cumpre o que promete em todos os quesitos oferecidos, e além de tudo é um dos único que oferecem um café da manhã aos moldes dos hotéis no Brasil, incluso na diária, sem contar que na recepção tem café, chocolate e biscoitos o dia inteiro..muita cortesia.  Voltarei com certeza";1;"café da manhã";209;222
3;"Adorei a estadia. Porto Alegre foi sensacional. Os recepcionistas ajudaram muito. Local ideal para quem vai resolver assuntos ou mesmo para turistas. A localização achei muito boa... bem localizado no centro comercial da cidade... pode fazer umas comprinhas e encontrar produtos bem em conta além de ir andando para o evento.. possui restaurante próximo e a estrutura física do hotel está em reforma... os funcionários bem receptivos.... o elevador funcionando normalmente.";-1;"hotel";378;383
4;"O hotel tem ótima localização, fizemos vários passeios a pé a partir dali. Os atendentes da recepção e também do restaurantes são muito simpáticos e atenciosos. O quarto e o banheiro sao espaçosos, novos, limpos e a internet funciona muito bem. O café-da-manhã é delicioso e bem servido. Pretendo voltar outras vezes e recomendo a todos!";1;"internet";216;224
5;"Cheio de charme e bom gosto. Uma equipe agradavel e que faz de tudo para atender os hospedes. A decoracao e linda e o restaurante delicioso...  A localizacao nao poderia ser melhor - Saint Germain de Pres! Perto de tudo!    Pontos negativos:   Quartos muito pequenos, faltam duchas, armarios, mas o resto compensa!";-1;"ducha";275;280
6;"O Audran fica pertinho do metrô e de Sacre-couer. Além de ter restaurantes próximos. Fiquei em quarto duplo, para dormir e descansar ele é ótimo, com um estilo clássico. Não tomamos café da manhã no hotel. O pessoal é muito simpático, não tivemos problemas. O hotel é barato, ficamos 4 dias, porém, as coisas em Paris são muito caras - água e comida. Tem wifi.";1;"hotel";199;204
7;"Estive com minha filha em outubro neste hotel. A localização é excelente , local privilegiado para compras e para pontos agitados da cidade. Quartos grandes e confortáveis. Café da manhã um pouco caro mas com qualidade. Funcionarios atenciosos. Ficamos no 28º andar mas o acesso é feito muito rápido. Guardam as malas até a sua saída. Ótimo hotel. Recomendo.";1;"localização";49;60
8;"Boa localização, perto da Times Square e Columbus Circle, bem central. Pode-se ir a pé para várias atrações turísticas ou apenas para flanar na cidade. Bons restaurantes e lanchonetes próximos. Funcionários prestativos e atenciosos. Pela categoria do hotel poderia ofertar wifi free para os hospedes pelo menos no lobby do hotel. O ponto negativo foi apenas que duas noites após chegarmos cansadas não havia toalhas no banheiro e tínhamos que pedir para trazer, mas eramos prontamente atendidas.";1;"funcionários";194;206
9;"Quarto muito pequeno, porém a cama é confortável. A casa de banho é antiga e também bastante pequena. A limpeza razoável. O atendimento é interessante, simpática recepção (há uma funcionária brasileira que fala português). Não experimentámos o pequeno-almoço. A localização é talvez o ponto mais positivo do hotel: perto da estação Dupleix e a uma caminhada de 10 minutos da Torre Eiffel. Uma excelente opção para quem quer visitar Paris e ficar num sítio sem luxos, mas confortável.";0;"limpeza";104;111
10;"O hotel fica na place de la sorbonne, com cafés e mercadinho ao redor, á noite é bem movimentado. Os quartos são bem pequenos e não tem frigobar, o elevador mau cabe 2 pessoas. O café da manhã é muito fraco, pelo valor da diária poderia ser bem melhor. Não sei se me hospedaria neste hotel novamente, pois estava com criança, e foi muito difícil ficar sem geladeira no quarto.";-1;"elevador";148;156
11;"Um bom local para se hospedar ,ótima localização, bem no centro de Porto Alegre.Deixa a desejar no room service, pouca variedade e muito lento o atendimento.Recepção atenciosa, mas um pouco lenta. Café da manhã simples, mas agradável.";1;"localização";37;48
12;"O Distrik é um ótimo hotel. Equipe atenciosa no check in. Pedimos quarto em andar alto e silencioso e fomos atendidos, perdemos uma das chaves e foi reposta sem problemas. Pedimos late checkout e nos deram. A unica coisa que pode melhorar é a reposição do café da manhã no horário de rush. Mas é um ótimo hotel em NYC.";1;"quarto";66;72
13;"O Hotel Mela agradou pelo bom atendimento, instalações modernizadas e limpas, e excepcional localização para o turismo de duração reduzida. Sua localização - 120 West 44thStreet - quase em frente ao Belasco Theater, fica a meio quarteirão de Times Square, oferecendo todas as facilidades para uma programação de espetáculos, gastronômica ou de compras. Quartos com banheiros novos e bom serviço do staff do hotel.";1;"hotel";2;7
14;"O quarto era bom, espaçoso e limpo. O cassino e shows são bem agitados, mas não já nenhum tipo de ruído no quarto, que possa atrapalhar o sono. So que e muito grande! Se você esquecer algo no quarto, leva um bom tempo para voltar buscar. Garagem grátis. Check out Express, mto bom. Boa localização, custo beneficio Vale a pena.";1;"quarto";2;8
15;"Fiquei no 3º andar, o quarto era velho, o banheiro tinha azulejo azul de casa de vó, e o box não fechava além de ser de acrílico.Chuveiro não esquenta direito.Quarto com mofo nos tetos e nas paredes e a janela do quarto dava pro depósito de lixo do hotel. Nojento.Não tinha tomada para carregar celular, apenas a tomada da tv e uma tomada no banheiro.Pelo menos as camas tinham lençóis e toalhas limpas. O hall de entrada do prédio é agradável e do lado do elevador tem um poster com fotos de quartos que eu duvido que seja de lá pelo que eu vi no meu. Não aconselho.";-1;"tomada";274;280
16;"Atendendo aos preços em Paris tenho que dizer que este hotel é muito bom. Excelente localização, com restaurantes, metro, supermercados perto. Perto do centro. Hotel tipico de Ibis, quartos pequenos mas confortaveis, a minha casa de banho é que ficava muito a desejar, velha e já com um estado de degradação acentuado. Internet gratuita, pequeno almoco caro. Pessoal bastante atencioso.";1;"internet";319;327
17;"Hotel antigo mas conservado, bom quarto, limpo mas algo decadente...  Servico eficiente e profissional. Otima localizacao, com acesso facil ao metro (em frente). Nas costas do Museu do Louvre, ao lado do portao de Richilieu, infelizmente a vista nao correspondeu as expectativas... No geral muito bom, mas caro pelo que oferece... vale pelo conjunto e localizacao... Internet wireless gratuita. Sem estacionamento.";1;"internet";367;375
18;"Hotel simples mas confortável. O grande destaque é a localização. Ao atravessar a rua você já está no Port Authority Terminal, um terminal de ônibus suburbano. Além de ônibus para diversos locais da cidade e dos arredores, no terminal tem metrô e diversas lojas de conveniência para café da manhã, drogarias e outras facilidades. O hotel fica somente a três quadras da times Sq.";1;"localização";53;64
